"","x"
"ASV_363",205
"ASV_364",268
"ASV_365",239
"ASV_367",307
"ASV_368",259
"ASV_369",284
"ASV_370",264
"ASV_371",259
"ASV_372",289
"ASV_373",245
"ASV_374",249
"ASV_375",253
"ASV_376",191
"ASV_377",250
"ASV_378",213
"ASV_379",219
"ASV_380",269
"ASV_381",224
"ASV_382",220
"ASV_383",261
"ASV_384",229
"ASV_385",236
"ASV_387",261
"ASV_388",212
"ASV_389",233
"ASV_390",229
"ASV_391",255
"ASV_392",245
"ASV_393",269
"ASV_394",270
"ASV_395",200
"ASV_396",259
"ASV_397",267
"ASV_398",199
"ASV_399",221
"ASV_401",235
"ASV_402",236
"ASV_403",270
"ASV_404",254
"ASV_405",222
"ASV_406",212
"ASV_407",217
"ASV_408",198
"ASV_409",221
"ASV_410",220
"ASV_411",196
"ASV_412",270
"ASV_413",208
"ASV_414",229
"ASV_415",209
"ASV_416",204
"ASV_417",187
"ASV_418",216
"ASV_419",250
"ASV_420",252
"ASV_421",182
"ASV_422",223
"ASV_423",184
"ASV_425",204
"ASV_426",223
"ASV_427",254
"ASV_428",260
"ASV_429",200
"ASV_431",243
"ASV_432",236
"ASV_433",229
"ASV_435",204
"ASV_436",188
"ASV_437",233
"ASV_438",271
"ASV_439",285
"ASV_440",215
"ASV_441",178
"ASV_442",180
"ASV_443",246
"ASV_444",184
"ASV_445",230
"ASV_446",267
"ASV_447",238
"ASV_448",224
"ASV_449",205
"ASV_452",215
"ASV_453",190
"ASV_454",201
"ASV_455",229
"ASV_456",233
"ASV_457",176
"ASV_458",174
"ASV_459",218
"ASV_460",219
"ASV_462",216
"ASV_463",238
"ASV_464",223
"ASV_465",227
"ASV_466",226
"ASV_467",208
"ASV_468",169
"ASV_469",190
"ASV_470",198
"ASV_471",195
"ASV_472",181
"ASV_473",254
"ASV_474",226
"ASV_475",193
"ASV_476",191
"ASV_477",212
"ASV_478",180
"ASV_479",225
"ASV_480",201
"ASV_481",209
"ASV_482",257
"ASV_483",221
"ASV_484",188
"ASV_485",202
"ASV_486",189
"ASV_487",162
"ASV_488",213
"ASV_489",160
"ASV_490",160
"ASV_491",225
"ASV_492",229
"ASV_493",221
"ASV_494",188
"ASV_495",212
"ASV_496",246
"ASV_497",231
"ASV_498",211
"ASV_499",302
"ASV_500",232
"ASV_501",180
"ASV_502",178
"ASV_503",224
