source	target	weight	correlation
ASV_3	ASV_8	0.982332231190044	0.982332231190044
ASV_3	ASV_28	0.9443579401148	0.9443579401148
ASV_3	ASV_39	0.953617699698849	0.953617699698849
ASV_3	ASV_161	0.913579109073175	0.913579109073175
ASV_3	ASV_190	0.909437900920963	0.909437900920963
ASV_3	ASV_337	0.949177480742605	0.949177480742605
ASV_3	ASV_402	0.913237258955825	0.913237258955825
ASV_3	ASV_502	0.910689526597664	0.910689526597664
ASV_3	ASV_582	0.901464402947186	0.901464402947186
ASV_3	ASV_619	0.901029445233493	0.901029445233493
ASV_3	ASV_796	0.917829530609655	0.917829530609655
ASV_3	ASV_899	0.909442418578344	0.909442418578344
ASV_8	ASV_28	0.92747721645178	0.92747721645178
ASV_8	ASV_190	0.911438746228198	0.911438746228198
ASV_8	ASV_402	0.900135907274212	0.900135907274212
ASV_8	ASV_796	0.919876257758655	0.919876257758655
ASV_11	ASV_73	0.912067984176377	0.912067984176377
ASV_11	ASV_93	0.922270826909504	0.922270826909504
ASV_11	ASV_100	0.906014450491022	0.906014450491022
ASV_11	ASV_114	0.961856880667263	0.961856880667263
ASV_11	ASV_138	0.914639978274417	0.914639978274417
ASV_11	ASV_152	0.918094643164235	0.918094643164235
ASV_11	ASV_155	0.907740192301481	0.907740192301481
ASV_11	ASV_177	0.927212889547394	0.927212889547394
ASV_11	ASV_376	0.908342397256079	0.908342397256079
ASV_11	ASV_411	0.912860523063766	0.912860523063766
ASV_14	ASV_139	0.915377691020974	0.915377691020974
ASV_14	ASV_317	0.900007826571668	0.900007826571668
ASV_24	ASV_61	0.917545440859514	0.917545440859514
ASV_24	ASV_158	0.900923975772129	0.900923975772129
ASV_24	ASV_550	0.900103746810607	-0.900103746810607
ASV_28	ASV_39	0.93277832445499	0.93277832445499
ASV_28	ASV_44	0.935306178992809	0.935306178992809
ASV_28	ASV_62	0.936166201721745	0.936166201721745
ASV_28	ASV_73	0.921605092402996	0.921605092402996
ASV_28	ASV_100	0.935180160753578	0.935180160753578
ASV_28	ASV_138	0.923466272628621	0.923466272628621
ASV_28	ASV_152	0.946616983039369	0.946616983039369
ASV_28	ASV_186	0.901632302405498	0.901632302405498
ASV_28	ASV_190	0.935539407399382	0.935539407399382
ASV_28	ASV_250	0.909405636846947	0.909405636846947
ASV_28	ASV_257	0.902533359278598	0.902533359278598
ASV_28	ASV_337	0.913354294383389	0.913354294383389
