"","Phylum","R2","R2Adj","slop","P"
"1","Proteobacteria","0.249641628745359","0.207955052564545","0.00920129953535818","0.0248896073319041"
"2","Actinobacteria","0.254961322014987","0.213570284349153","-0.0158360550537401","0.0231624357989521"
"3","Chloroflexi","0.061865702676971","0.00974713060346932","-0.00383008892454734","0.290303592109174"
"4","Ascomycota","0.110780014335866","0.0613789040211919","0.0328734739059948","0.151598108757294"
"5","Mortierellomycota","0.166668152473083","0.120371938721588","-0.0327259643165919","0.0739387874839007"
"6","Basidiomycota","0.0109638646602998","-0.0439825873030169","-0.00641585889501726","0.660422440756168"
